"MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LotConfig","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","PoolArea","PoolQC","Fence","MoSold","YrSold","SaleType","SaleCondition","TotalSF","TotalBaths","HouseAge","RemodelAge","HasPool","HasGarage","HasFireplace","HasBasement","OverallQual_Squared","SalePrice"
60,"RL",65,8450,"Reg","Inside","CollgCr","Norm","1Fam","2Story",7,5,2003,2003,"Gable","VinylSd","VinylSd","BrkFace",196,4,3,"PConc",4,3,"No","GLQ",706,150,856,5,"Y","SBrkr",856,854,1710,1,0,2,1,3,4,8,0,0,"Attchd",2003,"RFn",2,548,3,3,"Y",0,0,0,"None",2,2008,"WD","Normal",2566,3.5,5,5,0,1,0,1,49,12.247694320221
20,"RL",80,9600,"Reg","FR2","Veenker","Feedr","1Fam","1Story",6,8,1976,1976,"Gable","MetalSd","MetalSd","None",0,3,3,"CBlock",4,3,"Gd","ALQ",978,284,1262,5,"Y","SBrkr",1262,0,1262,0,1,2,0,3,3,6,1,3,"Attchd",1976,"RFn",2,460,3,3,"Y",298,0,0,"None",5,2007,"WD","Normal",2524,2.5,31,31,0,1,1,1,36,12.109010932687
60,"RL",68,11250,"IR1","Inside","CollgCr","Norm","1Fam","2Story",7,5,2001,2002,"Gable","VinylSd","VinylSd","BrkFace",162,4,3,"PConc",4,3,"Mn","GLQ",486,434,920,5,"Y","SBrkr",920,866,1786,1,0,2,1,3,4,6,1,3,"Attchd",2001,"RFn",2,608,3,3,"Y",0,0,0,"None",9,2008,"WD","Normal",2706,3.5,7,6,0,1,1,1,49,12.3171666930358
70,"RL",60,9550,"IR1","Corner","Crawfor","Norm","1Fam","2Story",7,5,1915,1970,"Gable","Wd Sdng","Wd Shng","None",0,3,3,"BrkTil",3,4,"No","ALQ",216,540,756,4,"Y","SBrkr",961,756,1717,1,0,1,0,3,4,7,1,4,"Detchd",1998,"Unf",3,642,3,3,"Y",0,0,0,"None",2,2006,"WD","Abnorml",2473,2,91,36,0,1,1,1,49,11.8493977015914
60,"RL",84,14260,"IR1","FR2","NoRidge","Norm","1Fam","2Story",8,5,2000,2000,"Gable","VinylSd","VinylSd","BrkFace",350,4,3,"PConc",4,3,"Av","GLQ",655,490,1145,5,"Y","SBrkr",1145,1053,2198,1,0,2,1,4,4,9,1,3,"Attchd",2000,"RFn",3,836,3,3,"Y",192,0,0,"None",12,2008,"WD","Normal",3343,3.5,8,8,0,1,1,1,64,12.4292161968444
50,"RL",85,14115,"IR1","Inside","Mitchel","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","VinylSd","VinylSd","None",0,3,3,"Wood",4,3,"No","GLQ",732,64,796,5,"Y","SBrkr",796,566,1362,1,0,1,1,1,3,5,0,0,"Attchd",1993,"Unf",2,480,3,3,"Y",40,0,0,"MnPrv",10,2009,"WD","Normal",2158,2.5,16,14,0,1,0,1,25,11.870599909242
20,"RL",75,10084,"Reg","Inside","Somerst","Norm","1Fam","1Story",8,5,2004,2005,"Gable","VinylSd","VinylSd","Stone",186,4,3,"PConc",5,3,"Av","GLQ",1369,317,1686,5,"Y","SBrkr",1694,0,1694,1,0,2,0,3,4,7,1,4,"Attchd",2004,"RFn",2,636,3,3,"Y",255,0,0,"None",8,2007,"WD","Normal",3380,3,3,2,0,1,1,1,64,12.6346030265693
60,"RL",68,10382,"IR1","Corner","NWAmes","PosN","1Fam","2Story",7,6,1973,1973,"Gable","HdBoard","HdBoard","Stone",240,3,3,"CBlock",4,3,"Mn","ALQ",859,216,1107,5,"Y","SBrkr",1107,983,2090,1,0,2,1,3,3,7,2,3,"Attchd",1973,"RFn",2,484,3,3,"Y",235,0,0,"None",11,2009,"WD","Normal",3197,3.5,36,36,0,1,1,1,49,12.2060726455302
50,"RM",51,6120,"Reg","Inside","OldTown","Artery","1Fam","1.5Fin",7,5,1931,1950,"Gable","BrkFace","Wd Shng","None",0,3,3,"BrkTil",3,3,"No","Unf",0,952,952,4,"Y","FuseF",1022,752,1774,0,0,2,0,2,3,8,2,3,"Detchd",1931,"Unf",2,468,2,3,"Y",90,0,0,"None",4,2008,"WD","Abnorml",2726,2,77,58,0,1,1,1,49,11.7745202026587
190,"RL",50,7420,"Reg","Corner","BrkSide","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","MetalSd","MetalSd","None",0,3,3,"BrkTil",3,3,"No","GLQ",851,140,991,5,"Y","SBrkr",1077,0,1077,1,0,1,0,2,3,5,2,3,"Attchd",1939,"RFn",1,205,4,3,"Y",0,0,0,"None",1,2008,"WD","Normal",2068,2,69,58,0,1,1,1,25,11.6784399034478
